run,family,source,seed,ckpt,method,group,n,exact_identities,metric,estimate,ci_low,ci_high,finite_only_mean
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,subject_kl_raw_harm,0.16720686271941204,0.15193146522801712,0.1821868366262743,0.16720686271941204
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,raw_site_ba,0.9509803921568626,0.9019607843137254,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,harmonized_site_ba,0.25546218487394956,0.19369747899159664,0.3178011204481792,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,all,109,1,site_ba_drop,0.695518207282913,0.6135854341736695,0.7749299719887955,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,psnr,16.042473508733053,15.835075326323366,16.24811670013257,16.042473508733053
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,mse,0.026903183286115205,0.025508734320307088,0.02823069149554401,0.026903183286115205
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,mae,0.10189159617428518,0.0986142541382109,0.10510564990009341,0.10189159617428518
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,pixel_cosine_similarity,0.9451440013504969,0.9422381881146618,0.9480682124136428,0.9451440013504969
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,cross_correlation,0.8959765952756992,0.890918894704535,0.9009750877570993,0.8959765952756992
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,subject_wasserstein_raw_harm,0.07133083689868013,0.06703513363449046,0.07584239950622264,0.07133083689868013
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,subject_kl_raw_harm,0.20250608854023608,0.18475756504829194,0.22106272641081182,0.20250608854023608
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,raw_site_ba,0.9479166666666666,0.8958333333333333,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_aggressive,source_non_nyu,90,0,harmonized_site_ba,0.2089285714285714,0.14538690476190477,0.27411830357142847,
